state,district,date,income_mean,income_median,year,poverty_absolute,poverty_relative,gini,piped_water,sanitation,electricity
Sabah,Beaufort,2022-01-01,4902,4018,2022,19.8,13.8,0.338,89.8,100.0,99.7
Sabah,Beluran,2019-01-01,3907,2849,2019,45.0,33.3,0.385,55.5,83.7,95.7
Sabah,Beluran,2022-01-01,4501,3131,2022,37.7,29.1,0.399,63.6,95.7,83.4
Sabah,Kalabakan,2022-01-01,4938,3931,2022,33.3,21.8,0.368,,,
Sabah,Keningau,2019-01-01,5445,4097,2019,17.1,10.9,0.369,75.8,98.21,100.0
Sabah,Keningau,2022-01-01,5979,4502,2022,18.8,10.3,0.36,84.8,99.8,99.8
Sabah,Kinabatangan,2019-01-01,5128,4102,2019,32.1,19.1,0.378,76.6,91.56,100.0
Sabah,Kinabatangan,2022-01-01,5543,4162,2022,28.9,18.2,0.392,78.7,100.0,91.1
Sabah,Kota Belud,2019-01-01,4382,3025,2019,34.0,31.1,0.412,71.4,98.73,99.7
Sabah,Kota Belud,2022-01-01,4949,3429,2022,27.8,29.8,0.425,72.7,100.0,100.0
Sabah,Kota Kinabalu,2019-01-01,7665,6004,2019,7.5,5.1,0.382,93.5,99.08,99.9
Sabah,Kota Kinabalu,2022-01-01,8388,5957,2022,10.3,8.0,0.431,93.9,99.6,99.8
Sabah,Kota Marudu,2019-01-01,3771,2425,2019,46.1,42.3,0.43,76.5,80.85,99.3
Sabah,Kota Marudu,2022-01-01,4031,2677,2022,49.9,38.4,0.419,81.6,99.1,99.6
Sabah,Kuala Penyu,2019-01-01,4275,2949,2019,29.7,20.0,0.377,86.7,99.22,100.0
Sabah,Kuala Penyu,2022-01-01,4311,3487,2022,17.6,20.6,0.324,97.1,100.0,100.0
Sabah,Kudat,2019-01-01,3966,2592,2019,41.5,36.5,0.427,85.6,79.21,98.8
Sabah,Kudat,2022-01-01,4049,2994,2022,34.7,32.5,0.369,91.0,100.0,96.4
Sabah,Kunak,2019-01-01,5194,3723,2019,26.0,13.5,0.392,93.8,97.55,100.0
Sabah,Kunak,2022-01-01,5838,4480,2022,25.4,13.9,0.352,95.5,95.9,97.0
Sabah,Lahad Datu,2019-01-01,5681,4186,2019,19.3,9.0,0.369,75.4,92.14,99.9
Sabah,Lahad Datu,2022-01-01,5995,4457,2022,23.5,14.6,0.388,90.5,93.8,99.5
Sabah,Nabawan,2019-01-01,4443,3613,2019,35.6,12.7,0.299,50.0,97.78,100.0
Sabah,Nabawan,2022-01-01,5016,4110,2022,27.1,10.4,0.311,68.8,100.0,95.8
Sabah,Papar,2019-01-01,5733,4571,2019,12.7,10.8,0.355,97.3,99.85,100.0
Sabah,Papar,2022-01-01,5980,4871,2022,16.2,10.5,0.341,95.6,100.0,99.8
Sabah,Penampang,2019-01-01,6570,5493,2019,4.4,4.0,0.321,96.9,100.0,100.0
Sabah,Penampang,2022-01-01,7491,6265,2022,6.7,5.6,0.33,97.0,100.0,99.3
Sabah,Pitas,2019-01-01,3378,1999,2019,53.6,56.6,0.458,65.9,74.64,98.6
Sabah,Pitas,2022-01-01,3406,2329,2022,52.7,46.7,0.386,76.6,100.0,98.2
Sabah,Putatan,2019-01-01,6471,5119,2019,10.9,8.8,0.357,98.5,100.0,100.0
Sabah,Putatan,2022-01-01,7110,5699,2022,12.9,7.9,0.351,96.8,100.0,100.0
Sabah,Ranau,2019-01-01,4756,3571,2019,26.8,21.3,0.397,35.3,94.84,100.0
Sabah,Ranau,2022-01-01,5270,4058,2022,25.4,21.1,0.375,47.4,99.0,94.7
Sabah,Sandakan,2019-01-01,6020,4680,2019,18.2,11.5,0.386,96.0,94.98,99.9
Sabah,Sandakan,2022-01-01,6030,4828,2022,17.7,10.0,0.347,97.0,99.9,99.5
Sabah,Semporna,2019-01-01,5933,3542,2019,31.5,18.0,0.474,90.3,87.19,99.7
Sabah,Semporna,2022-01-01,5098,4093,2022,28.0,16.9,0.341,71.8,84.1,100.0
Sabah,Sipitang,2019-01-01,5271,3944,2019,10.5,6.2,0.347,98.0,99.5,100.0
Sabah,Sipitang,2022-01-01,5479,4182,2022,22.1,15.1,0.36,93.7,99.4,100.0
Sabah,Tambunan,2019-01-01,4826,3581,2019,16.7,19.1,0.378,68.2,96.97,100.0
Sabah,Tambunan,2022-01-01,5113,4055,2022,9.0,13.5,0.337,74.4,99.2,100.0
Sabah,Tawau,2019-01-01,6212,4427,2019,14.2,9.0,0.387,98.6,99.1,99.9
Sabah,Tawau,2022-01-01,6315,4783,2022,14.4,12.5,0.388,98.4,99.1,99.9
Sabah,Telupid,2019-01-01,4762,2757,2019,40.7,35.5,0.447,72.1,100.0,100.0
Sabah,Telupid,2022-01-01,4819,3953,2022,20.8,16.7,0.321,80.0,100.0,100.0
Sabah,Tenom,2019-01-01,4734,3525,2019,17.2,11.3,0.347,54.3,100.0,100.0
Sabah,Tenom,2022-01-01,5217,4045,2022,15.8,12.4,0.336,50.9,100.0,100.0
Sabah,Tongod,2019-01-01,3364,2197,2019,56.6,49.1,0.422,33.6,79.51,91.0
Sabah,Tongod,2022-01-01,4019,2856,2022,50.8,23.7,0.347,53.4,99.2,95.8
Sabah,Tuaran,2019-01-01,5050,3736,2019,16.7,16.5,0.383,78.3,98.59,100.0
Sabah,Tuaran,2022-01-01,5166,3921,2022,25.8,19.2,0.366,76.5,100.0,100.0
Sarawak,Asajaya,2019-01-01,4316,3101,2019,20.0,28.4,0.383,90.6,100.0,99.4
Sarawak,Asajaya,2022-01-01,4557,3929,2022,17.9,19.9,0.301,100.0,100.0,100.0
Sarawak,Bau,2019-01-01,5183,4004,2019,9.6,13.0,0.346,90.8,99.62,99.6
Sarawak,Bau,2022-01-01,5621,4735,2022,8.3,18.7,0.36,92.1,100.0,100.0
Sarawak,Belaga,2019-01-01,4229,3442,2019,6.9,21.4,0.334,53.7,100.0,99.1
Sarawak,Belaga,2022-01-01,4239,3587,2022,19.5,28.1,0.33,48.5,100.0,91.8
Sarawak,Beluru,2019-01-01,4119,3104,2019,12.0,22.2,0.353,79.4,100.0,100.0
Sarawak,Beluru,2022-01-01,4873,4164,2022,13.7,18.9,0.302,90.5,100.0,100.0
Sarawak,Betong,2019-01-01,3962,2782,2019,22.4,31.3,0.374,83.4,100.0,99.6
Sarawak,Betong,2022-01-01,4422,3685,2022,9.8,21.3,0.305,95.8,100.0,100.0
